path_id,od_id,arc_id,value
202,70,201,1.0
203,70,83,1.0
203,70,86,1.0
203,70,238,1.0
203,70,311,1.0
203,70,203,1.0
204,71,241,1.0
204,71,238,1.0
204,71,458,1.0
204,71,460,1.0
205,71,241,1.0
205,71,238,1.0
205,71,275,1.0
205,71,270,1.0
205,71,438,1.0
206,71,83,1.0
206,71,86,1.0
206,71,238,1.0
206,71,458,1.0
206,71,460,1.0
207,71,241,1.0
207,71,238,1.0
207,71,443,1.0
207,71,438,1.0
208,72,241,1.0
208,72,244,1.0
209,72,83,1.0
209,72,86,1.0
209,72,244,1.0
210,72,59,1.0
210,72,62,1.0
211,73,241,1.0
211,73,244,1.0
212,73,83,1.0
212,73,86,1.0
212,73,244,1.0
213,73,59,1.0
213,73,62,1.0
214,74,241,1.0
214,74,244,1.0
215,74,83,1.0
215,74,86,1.0
215,74,244,1.0
216,74,59,1.0
216,74,62,1.0
217,75,241,1.0
217,75,238,1.0
217,75,275,1.0
218,75,83,1.0
218,75,86,1.0
218,75,238,1.0
218,75,275,1.0
219,75,59,1.0
219,75,54,1.0
219,75,275,1.0
220,76,159,1.0
220,76,156,1.0
220,76,1,1.0
221,76,83,1.0
221,76,90,1.0
221,76,7,1.0
222,76,83,1.0
222,76,88,1.0
222,76,156,1.0
222,76,1,1.0
223,77,241,1.0
223,77,238,1.0
223,77,443,1.0
223,77,419,1.0
223,77,395,1.0
223,77,385,1.0
223,77,171,1.0
223,77,166,1.0
224,77,241,1.0
224,77,238,1.0
224,77,275,1.0
224,77,272,1.0
224,77,288,1.0
224,77,119,1.0
224,77,124,1.0
224,77,171,1.0
224,77,166,1.0
225,77,83,1.0
225,77,86,1.0
225,77,238,1.0
225,77,443,1.0
225,77,419,1.0
225,77,395,1.0
225,77,385,1.0
225,77,171,1.0
225,77,166,1.0
226,77,241,1.0
226,77,238,1.0
226,77,458,1.0
226,77,460,1.0
226,77,397,1.0
226,77,385,1.0
226,77,171,1.0
226,77,166,1.0
227,78,241,1.0
227,78,238,1.0
227,78,443,1.0
227,78,419,1.0
227,78,395,1.0
227,78,385,1.0
227,78,171,1.0
227,78,168,1.0
228,78,241,1.0
228,78,238,1.0
228,78,275,1.0
228,78,272,1.0
228,78,288,1.0
228,78,119,1.0
228,78,124,1.0
228,78,171,1.0
228,78,168,1.0
229,78,83,1.0
229,78,86,1.0
229,78,238,1.0
229,78,443,1.0
229,78,419,1.0
229,78,395,1.0
229,78,385,1.0
229,78,171,1.0
229,78,168,1.0
230,78,241,1.0
230,78,238,1.0
230,78,458,1.0
230,78,460,1.0
230,78,397,1.0
230,78,385,1.0
230,78,171,1.0
230,78,168,1.0
231,79,159,1.0
231,79,156,1.0
231,79,251,1.0
232,79,83,1.0
232,79,88,1.0
232,79,156,1.0
232,79,251,1.0
233,79,159,1.0
233,79,156,1.0
233,79,1,1.0
233,79,2,1.0
235,81,220,1.0
236,81,216,1.0
236,81,412,1.0
237,81,218,1.0
237,81,452,1.0
238,82,220,1.0
239,82,216,1.0
239,82,412,1.0
240,82,218,1.0
240,82,452,1.0
241,83,220,1.0
242,83,216,1.0
242,83,412,1.0
243,83,218,1.0
243,83,452,1.0
244,84,218,1.0
245,84,216,1.0
245,84,410,1.0
246,84,220,1.0
246,84,453,1.0
247,85,222,1.0
248,85,216,1.0
248,85,297,1.0
249,85,218,1.0
249,85,295,1.0
250,86,218,1.0
250,86,141,1.0
251,86,216,1.0
251,86,143,1.0
252,86,216,1.0
252,86,410,1.0
252,86,141,1.0
253,87,218,1.0
253,87,141,1.0
254,87,216,1.0
254,87,143,1.0
255,87,216,1.0
255,87,410,1.0
255,87,141,1.0
256,88,218,1.0
256,88,359,1.0
257,88,216,1.0
257,88,361,1.0
258,88,216,1.0
258,88,410,1.0
258,88,359,1.0
259,89,218,1.0
259,89,359,1.0
260,89,216,1.0
260,89,361,1.0
261,89,216,1.0
261,89,410,1.0
261,89,359,1.0
262,90,218,1.0
262,90,359,1.0
262,90,362,1.0
263,90,216,1.0
263,90,361,1.0
263,90,362,1.0
264,90,216,1.0
264,90,410,1.0
264,90,359,1.0
264,90,362,1.0
265,91,220,1.0
265,91,427,1.0
266,91,216,1.0
266,91,412,1.0
266,91,427,1.0
267,91,218,1.0
267,91,452,1.0
267,91,427,1.0
268,92,218,1.0
268,92,303,1.0
268,92,300,1.0
269,92,216,1.0
269,92,410,1.0
269,92,303,1.0
269,92,300,1.0
270,92,218,1.0
270,92,141,1.0
270,92,148,1.0
270,92,300,1.0
271,93,218,1.0
271,93,303,1.0
271,93,300,1.0
272,93,216,1.0
272,93,410,1.0
272,93,303,1.0
272,93,300,1.0
273,93,218,1.0
273,93,141,1.0
273,93,148,1.0
273,93,300,1.0
274,94,220,1.0
274,94,427,1.0
274,94,434,1.0
275,94,220,1.0
275,94,427,1.0
275,94,185,1.0
275,94,190,1.0
276,94,216,1.0
276,94,412,1.0
276,94,427,1.0
276,94,434,1.0
277,95,220,1.0
277,95,427,1.0
277,95,434,1.0
278,95,220,1.0
278,95,427,1.0
278,95,185,1.0
278,95,190,1.0
279,95,216,1.0
279,95,412,1.0
279,95,427,1.0
279,95,434,1.0
280,96,220,1.0
280,96,427,1.0
280,96,430,1.0
281,96,220,1.0
281,96,427,1.0
281,96,185,1.0
281,96,186,1.0
282,96,216,1.0
282,96,412,1.0
282,96,427,1.0
282,96,430,1.0
283,97,220,1.0
283,97,427,1.0
283,97,430,1.0
284,97,220,1.0
284,97,427,1.0
284,97,185,1.0
284,97,186,1.0
285,97,216,1.0
285,97,412,1.0
285,97,427,1.0
285,97,430,1.0
286,98,218,1.0
286,98,359,1.0
286,98,81,1.0
287,98,216,1.0
287,98,361,1.0
287,98,81,1.0
288,98,216,1.0
288,98,410,1.0
288,98,359,1.0
288,98,81,1.0
